Year,PunxsutawneyPhil,FebruaryAverageTemperature,FebruaryAverageTemperature_PA,MarchAverageTemperature,MarchAverageTemperature_PA,CorrectlyPredicted_PA
1898,Full Shadow,35.37,26.7,41.05,42,Y
1900,Full Shadow,30.76,24.1,41.27,29.3,Y
1901,Full Shadow,29.86,18.9,40.71,35.1,Y
1903,Full Shadow,28.42,28,42.21,44.5,Y
1904,Full Shadow,31.59,19.2,41.76,34,Y
1905,Full Shadow,26.94,18.1,45.12,36.9,Y
1906,Full Shadow,33.69,25.3,36.1,29.1,Y
1907,Full Shadow,35.46,20.1,45.7,39.5,N
1908,Full Shadow,33.01,22.1,43.92,38.4,N
1909,Full Shadow,35.02,32.9,40.35,33.1,N
1910,Full Shadow,29.3,23.8,49.44,42.6,Y
1911,Full Shadow,33.66,28.5,44.02,32.8,N
1912,Full Shadow,31.08,21.1,35.76,31.5,Y
1913,Full Shadow,29.5,25,38.71,40,Y
1914,Full Shadow,29.52,18.7,40.75,31.7,Y
1915,Full Shadow,35.94,30.6,36.95,30.3,Y
1916,Full Shadow,33.03,22.8,42.15,28.2,Y
1917,Full Shadow,30.09,23,38.35,35.4,Y
1918,Full Shadow,33.82,25.7,45.75,39.3,N
1919,Full Shadow,32.25,29.6,40.89,38.6,N
1920,Full Shadow,33.69,23,40.28,36.7,N
1921,Full Shadow,36.9,30,46.63,45.4,N
1922,Full Shadow,31.95,30.1,40.42,37.1,Y
1923,Full Shadow,29.57,22.1,38.3,34.3,Y
1924,Full Shadow,35.19,23.9,37.18,33.5,N
1925,Full Shadow,38.3,32.8,44.24,38.1,N
1926,Full Shadow,37.67,25.8,39.65,30.2,Y
1927,Full Shadow,37.9,32,42.26,39.2,N
1928,Full Shadow,34.34,27.3,43.12,34,N
1929,Full Shadow,26.92,24.7,43.56,41,Y
1930,Full Shadow,40.1,32.2,40.41,35.1,N
1931,Full Shadow,37.94,29,39.42,33.7,N
1932,Full Shadow,36.7,32.6,37.36,30.8,Y
1933,Full Shadow,29.59,28.4,41.83,33.8,Y
1934,No Shadow,34.32,15.2,42.78,32.1,Y
1935,Full Shadow,36.01,25.8,43.61,40,N
1936,Full Shadow,25.23,18.3,43.43,39.4,Y
1937,Full Shadow,31.73,28.5,38.84,31.4,Y
1938,Full Shadow,36,31.4,45.01,40.1,N
1939,Full Shadow,29.98,30.2,42.51,35.6,Y
1940,Full Shadow,33.85,26.3,41.52,29.5,Y
1941,Full Shadow,33.53,23.6,39.2,28.9,Y
1942,Partial Shadow,30.74,23.2,41.31,37.8,Y
1944,Full Shadow,34.5,27.5,38.5,32.7,N
1945,Full Shadow,35.28,27.1,45.54,46.2,N
1946,Full Shadow,34.88,27.4,46.78,45.3,N
1947,Full Shadow,31.41,21.7,38.75,30.3,Y
1948,Full Shadow,31.62,25.6,38.71,38.3,Y
1949,Full Shadow,31.91,32.9,40.77,36.8,Y
1950,No Shadow,35.55,27.4,38.84,30.8,N
1951,Full Shadow,34.54,28.9,38.55,36.1,N
1952,Full Shadow,35.46,30.6,37.69,34.6,N
1953,Full Shadow,35.87,31.8,43.75,37.9,N
1954,Full Shadow,41.41,33.6,39.25,35,N
1955,Full Shadow,31.05,27.3,40.06,37.2,Y
1956,Full Shadow,32.27,29.8,40.75,32.9,N
1957,Full Shadow,38.07,31.4,41.27,36.1,N
1958,Full Shadow,31.98,20.4,37.67,33.7,Y
1959,Full Shadow,32.49,27,41.45,34.1,N
1960,Full Shadow,30.52,28.6,35.91,24.5,Y
1961,Full Shadow,37.42,28.9,43.47,37.1,N
1962,Full Shadow,34.92,25.4,37.9,34.2,N
